Region,Crop,Avg_Yield_kg_ha,Data_Source,Year
Arusha,Maize,1812.8,NBS Tanzania AASS 2023/24,2024
Arusha,Rice,2266.3,NBS Tanzania AASS 2023/24,2024
Dar es Salaam,Cassava,1149.7,NBS Tanzania AASS 2023/24,2024
Dar es Salaam,Maize,1367.5,NBS Tanzania AASS 2023/24,2024
Dar es Salaam,Rice,1347.7,NBS Tanzania AASS 2023/24,2024
Dodoma,Maize,1327.2,NBS Tanzania AASS 2023/24,2024
Dodoma,Rice,1310.7,NBS Tanzania AASS 2023/24,2024
Geita,Cassava,1568.0,NBS Tanzania AASS 2023/24,2024
Geita,Maize,1209.0,NBS Tanzania AASS 2023/24,2024
Geita,Rice,2198.0,NBS Tanzania AASS 2023/24,2024
Iringa,Maize,1640.9,NBS Tanzania AASS 2023/24,2024
Iringa,Rice,3764.8,NBS Tanzania AASS 2023/24,2024
Kagera,Cassava,607.7,NBS Tanzania AASS 2023/24,2024
Kagera,Maize,975.5,NBS Tanzania AASS 2023/24,2024
Kagera,Rice,2166.0,NBS Tanzania AASS 2023/24,2024
Kaskazini Pemba,Cassava,3224.7,NBS Tanzania AASS 2023/24,2024
Kaskazini Pemba,Rice,1000.0,NBS Tanzania AASS 2023/24,2024
Kaskazini Unguja,Cassava,2568.3,NBS Tanzania AASS 2023/24,2024
Kaskazini Unguja,Maize,0.0,NBS Tanzania AASS 2023/24,2024
Kaskazini Unguja,Rice,260.4,NBS Tanzania AASS 2023/24,2024
Katavi,Cassava,595.4,NBS Tanzania AASS 2023/24,2024
Katavi,Maize,2096.9,NBS Tanzania AASS 2023/24,2024
Katavi,Rice,2589.9,NBS Tanzania AASS 2023/24,2024
Kigoma,Cassava,1000.0,NBS Tanzania AASS 2023/24,2024
Kigoma,Maize,1102.9,NBS Tanzania AASS 2023/24,2024
Kigoma,Rice,1434.0,NBS Tanzania AASS 2023/24,2024
Kilimanjaro,Maize,1406.8,NBS Tanzania AASS 2023/24,2024
Kilimanjaro,Rice,2530.4,NBS Tanzania AASS 2023/24,2024
Kusini Pemba,Cassava,4300.6,NBS Tanzania AASS 2023/24,2024
Kusini Pemba,Rice,101.9,NBS Tanzania AASS 2023/24,2024
Kusini Unguja,Cassava,5854.9,NBS Tanzania AASS 2023/24,2024
Kusini Unguja,Maize,1000.0,NBS Tanzania AASS 2023/24,2024
Kusini Unguja,Rice,1139.9,NBS Tanzania AASS 2023/24,2024
Lindi,Cassava,596.1,NBS Tanzania AASS 2023/24,2024
Lindi,Maize,421.3,NBS Tanzania AASS 2023/24,2024
Lindi,Rice,451.2,NBS Tanzania AASS 2023/24,2024
Manyara,Maize,2169.8,NBS Tanzania AASS 2023/24,2024
Manyara,Rice,3684.2,NBS Tanzania AASS 2023/24,2024
Mara,Cassava,773.6,NBS Tanzania AASS 2023/24,2024
Mara,Maize,953.1,NBS Tanzania AASS 2023/24,2024
Mara,Rice,1964.7,NBS Tanzania AASS 2023/24,2024
Mbeya,Maize,1898.4,NBS Tanzania AASS 2023/24,2024
Mbeya,Rice,3684.3,NBS Tanzania AASS 2023/24,2024
Mjini Magharibi,Cassava,1628.7,NBS Tanzania AASS 2023/24,2024
Mjini Magharibi,Maize,582.3,NBS Tanzania AASS 2023/24,2024
Mjini Magharibi,Rice,1664.1,NBS Tanzania AASS 2023/24,2024
Morogoro,Cassava,695.7,NBS Tanzania AASS 2023/24,2024
Morogoro,Maize,971.3,NBS Tanzania AASS 2023/24,2024
Morogoro,Rice,1739.2,NBS Tanzania AASS 2023/24,2024
Mtwara,Cassava,705.7,NBS Tanzania AASS 2023/24,2024
Mtwara,Maize,428.7,NBS Tanzania AASS 2023/24,2024
Mtwara,Rice,846.0,NBS Tanzania AASS 2023/24,2024
Mwanza,Cassava,1127.7,NBS Tanzania AASS 2023/24,2024
Mwanza,Maize,1145.1,NBS Tanzania AASS 2023/24,2024
Mwanza,Rice,2245.9,NBS Tanzania AASS 2023/24,2024
Njombe,Maize,1605.0,NBS Tanzania AASS 2023/24,2024
Pwani,Cassava,2132.4,NBS Tanzania AASS 2023/24,2024
Pwani,Maize,681.9,NBS Tanzania AASS 2023/24,2024
Pwani,Rice,1107.0,NBS Tanzania AASS 2023/24,2024
Rukwa,Cassava,2000.0,NBS Tanzania AASS 2023/24,2024
Rukwa,Maize,1601.8,NBS Tanzania AASS 2023/24,2024
Rukwa,Rice,3077.4,NBS Tanzania AASS 2023/24,2024
Ruvuma,Maize,2614.0,NBS Tanzania AASS 2023/24,2024
Ruvuma,Rice,1579.3,NBS Tanzania AASS 2023/24,2024
Shinyanga,Cassava,2000.0,NBS Tanzania AASS 2023/24,2024
Shinyanga,Maize,981.1,NBS Tanzania AASS 2023/24,2024
Shinyanga,Rice,2395.7,NBS Tanzania AASS 2023/24,2024
Simiyu,Cassava,1000.0,NBS Tanzania AASS 2023/24,2024
Simiyu,Maize,1170.3,NBS Tanzania AASS 2023/24,2024
Simiyu,Rice,2112.7,NBS Tanzania AASS 2023/24,2024
Singida,Cassava,2000.0,NBS Tanzania AASS 2023/24,2024
Singida,Maize,1817.2,NBS Tanzania AASS 2023/24,2024
Singida,Rice,2183.3,NBS Tanzania AASS 2023/24,2024
Songwe,Maize,2741.6,NBS Tanzania AASS 2023/24,2024
Songwe,Rice,1763.7,NBS Tanzania AASS 2023/24,2024
Tabora,Cassava,2342.7,NBS Tanzania AASS 2023/24,2024
Tabora,Maize,1473.3,NBS Tanzania AASS 2023/24,2024
Tabora,Rice,2240.4,NBS Tanzania AASS 2023/24,2024
Tanga,Cassava,1313.6,NBS Tanzania AASS 2023/24,2024
Tanga,Maize,1483.5,NBS Tanzania AASS 2023/24,2024
Tanga,Rice,1725.7,NBS Tanzania AASS 2023/24,2024
